elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct
1.954105,9.815043,0.0,69.962661
2.61446,4.650913,0.0,69.959815
3.261316,4.3198,0.0,69.963972
3.917446,3.821624,0.0,69.96409
4.576057,3.835604,0.0,69.96355
5.225339,3.997735,0.0,69.962916
5.893565,4.000036,0.0,69.958549
6.552821,3.720853,0.0,69.960513
7.214616,3.739843,0.0,69.964709
7.871707,3.561251,0.0,69.9646
8.522522,3.376439,0.0,69.970994
9.167555,3.448929,0.0,69.967711
9.818683,3.281258,0.0,69.970715
10.469975,3.168186,0.0,69.973801
11.119279,3.563231,0.0,69.971543
11.771415,3.47178,0.0,69.971449
12.430999,3.323188,0.0,69.962719
13.07973,3.284388,0.0,69.963292
13.731978,3.256717,0.0,69.96338
14.384597,3.289148,0.0,69.963326
15.030179,3.415369,0.0,69.967204
15.6928,3.164096,0.0,69.968569
16.339628,3.271738,0.0,69.968296
16.991826,3.46292,0.0,69.968217
17.64816,3.457299,0.0,69.967183
18.30471,3.170257,0.0,69.967052
18.94919,3.085885,0.0,69.961547
19.598697,2.999625,0.0,69.964136
20.257348,3.194306,0.0,69.967717
20.908715,3.254978,0.0,69.972833
21.555383,3.230937,0.0,69.977378
22.205668,2.982304,0.0,69.972511
22.855574,2.977234,0.0,69.967826
23.516908,3.098156,0.0,69.969307
24.163018,3.352248,0.0,69.972981
24.806743,3.44983,0.0,69.978334
25.474904,3.092475,0.0,69.980671
26.124365,2.932724,0.0,69.975691
26.772018,3.175986,0.0,69.978529
27.420037,2.829033,0.0,69.97289
28.06926,3.005214,0.0,69.973079
28.721,2.861503,0.0,69.970876
29.374458,3.308758,0.0,69.972705
30.022239,2.742092,0.0,69.973276
30.671527,3.239237,0.0,69.97557
31.325155,2.809392,0.0,69.975913
31.977858,2.748911,0.0,69.971689
32.630126,3.220987,0.0,69.974908
33.289617,3.230228,0.0,69.976368
33.94344,2.959774,0.0,69.975861
34.591037,2.976034,0.0,69.976052
35.237866,3.075735,0.0,69.978586
35.888619,3.241317,0.0,69.980507
36.540738,3.204297,0.0,69.970672
37.187151,3.053985,0.0,69.969307
37.835855,3.364719,0.0,69.977266
38.492018,3.167706,0.0,69.979047
39.141394,2.845393,0.0,69.982728
39.79024,3.162926,0.0,69.976432
40.439036,3.270327,0.0,69.980264
41.088457,2.888634,0.0,69.983572
41.742078,2.756921,0.0,69.985456
42.395904,2.946854,0.0,69.976635
43.043725,2.758632,0.0,69.97926
43.693252,2.886363,0.0,69.9731
44.348743,3.339528,0.0,69.971431
44.998778,2.741032,0.0,69.97378
45.64962,2.600909,0.0,69.981854
46.303489,3.543401,0.0,69.979864
46.95252,2.905964,0.0,69.980246
47.602475,2.968804,0.0,69.975285
48.26027,3.240777,0.0,69.977133
48.913925,3.548261,0.0,69.965638
49.584994,3.476159,0.0,69.969992
50.234836,3.073616,0.0,69.971519
50.891387,3.320008,0.0,69.972311
51.54652,3.177686,0.0,69.979597
52.200011,3.49863,0.0,69.979888
52.851379,3.258378,0.0,69.971898
53.516661,3.51785,0.0,69.974987
54.175541,3.541701,0.0,69.974253
54.829973,3.063305,0.0,69.974347
55.47315,3.238617,0.0,69.973886
56.127089,3.099456,0.0,69.97384
56.775031,3.185926,0.0,69.971992
57.432463,3.333258,0.0,69.974896
58.080244,3.181697,0.0,69.976271
58.730902,3.051845,0.0,69.971668
59.397367,3.002065,0.0,69.974966
60.041366,3.105195,0.0,69.97723
60.694429,2.876913,0.0,69.973255
61.346159,3.44768,0.0,69.970979
61.991702,3.036105,0.0,69.970299
62.651717,2.826142,0.0,69.971871
63.300237,3.025475,0.0,69.970912
63.954406,3.212087,0.0,69.974578
