elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct
0.51089,3.48856,0.0,10.739651
0.516513,2.718348,0.0,10.739651
0.521512,3.111225,0.0,10.739651
0.526349,2.596806,0.0,10.739651
0.53098,2.771265,0.0,10.739651
0.535629,2.663056,0.0,10.739651
0.540268,2.53393,0.0,10.739651
0.545084,2.479347,0.0,10.739651
0.549723,2.509055,0.0,10.739651
0.554333,3.097808,0.0,10.739651
0.558962,2.700889,0.0,10.739651
0.563531,2.526222,0.0,10.739651
0.56811,2.56918,0.0,10.739651
0.57271,2.741889,0.0,10.739651
0.577416,2.791265,0.0,10.739651
0.582329,2.48193,0.0,10.739651
0.587151,2.454513,0.0,10.739651
0.591826,2.520305,0.0,10.739651
0.596467,2.482263,0.0,10.739651
0.600996,2.405763,0.0,10.739651
0.605571,2.882015,0.0,10.739651
0.610163,2.74789,0.0,10.739651
0.614656,2.687306,0.0,10.739651
0.61937,2.668056,0.0,10.739651
0.624037,2.559514,0.0,10.739651
0.6286,2.562055,0.0,10.739651
0.633137,2.584848,0.0,10.739651
0.637681,2.552639,0.0,10.739651
0.642253,2.566722,0.0,10.739651
0.646753,2.80364,0.0,10.739651
0.651347,2.586264,0.0,10.739651
0.655848,2.579972,0.0,10.739651
0.660349,2.541431,0.0,10.739651
0.664917,2.647056,0.0,10.739651
0.669577,2.686723,0.0,10.739651
0.674218,2.547097,0.0,10.739651
0.678753,2.455304,0.0,10.739651
0.683336,2.575598,0.0,10.739651
0.687854,2.510597,0.0,10.739651
0.692416,2.431763,0.0,10.739651
0.696977,2.477305,0.0,10.739651
0.701633,2.479305,0.0,10.739651
0.706382,2.622139,0.0,10.739651
0.710978,2.684723,0.0,10.739651
0.715509,2.38543,0.0,10.739651
0.720077,2.732514,0.0,10.739651
0.724627,2.629639,0.0,10.739651
0.72917,2.427513,0.0,10.739651
0.733775,2.506055,0.0,10.739651
0.738526,2.501263,0.0,10.739651
0.743097,2.439721,0.0,10.739651
0.747678,2.535263,0.0,10.739651
0.752234,2.326346,0.0,10.739651
0.756809,2.465846,0.0,10.739651
0.761351,2.503721,0.0,10.739651
0.765959,2.366138,0.0,10.739651
0.770523,2.473055,0.0,10.739651
0.775111,2.451596,0.0,10.739651
0.779624,2.401805,0.0,10.739651
0.784239,2.685639,0.0,10.739651
0.788857,2.554139,0.0,10.739651
0.793478,2.648556,0.0,10.739651
0.797989,2.698014,0.0,10.739651
0.802713,2.402929,0.0,10.739651
0.807261,2.516305,0.0,10.739651
0.811755,2.657431,0.0,10.739651
0.81632,2.451721,0.0,10.739651
0.821074,2.64964,0.0,10.739651
0.825693,2.599556,0.0,10.739651
0.830223,2.668889,0.0,10.739651
0.834803,2.455429,0.0,10.739651
0.839387,2.375305,0.0,10.739651
0.843933,2.396013,0.0,10.739651
0.848505,2.364971,0.0,10.739651
0.85305,2.38618,0.0,10.739651
0.857614,2.34368,0.0,10.739651
0.862142,2.385846,0.0,10.739651
0.86674,2.291179,0.0,10.739651
0.871469,2.710556,0.0,10.739651
0.876092,2.362304,0.0,10.739651
0.880615,2.397513,0.0,10.739651
0.8852,2.636055,0.0,10.739651
0.889712,2.408722,0.0,10.739651
0.894305,2.455388,0.0,10.739651
0.898866,2.620514,0.0,10.739651
0.903587,2.45268,0.0,10.739651
0.908244,2.434763,0.0,10.739651
0.912808,2.463888,0.0,10.739651
0.91741,2.32572,0.0,10.739651
0.921973,2.49443,0.0,10.739651
