elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,cache_action_pre_query,cache_action_post_query
6e-06,8.003236,5.0,72.238069,40.8,,
1.014521,2.649708,5.0,72.238069,40.8,,
1.017188,2.554667,5.0,72.238069,40.8,,
1.019752,2.304295,5.0,72.238069,40.8,,
1.022064,2.275824,5.0,72.238069,40.8,,
1.024349,2.037192,5.0,72.238069,40.8,,
1.026394,2.055872,5.0,72.238069,40.8,,
1.028458,2.550437,5.0,72.238069,40.8,,
1.031019,2.269274,5.0,72.238069,40.8,,
1.033298,2.217774,5.0,72.238069,40.8,,
1.035524,2.119942,5.0,72.242278,40.8,,
1.037748,1.904061,5.0,72.242278,40.8,,
1.03966,2.032551,5.0,72.242278,40.8,,
1.041701,2.171064,5.0,72.242278,40.8,,
1.04388,2.037521,5.0,72.242278,40.8,,
1.045926,1.87366,5.0,72.242278,40.8,,
1.047808,2.267424,5.0,72.242278,40.8,,
1.050083,2.105932,5.0,72.242278,40.8,,
1.052197,2.148023,5.0,72.242278,40.8,,
1.054353,1.966311,5.0,72.242278,40.8,,
1.056328,2.468637,5.0,72.24266,40.8,,
1.058907,2.235564,5.0,72.24266,40.8,,
1.061152,2.289604,5.0,72.24266,40.8,,
1.063451,2.042312,5.0,72.24266,40.8,,
1.065501,2.167053,5.0,72.24266,40.8,,
1.067677,2.185884,5.0,72.24266,40.8,,
1.06987,2.510396,5.0,72.24266,40.8,,
1.072389,2.438656,5.0,72.24266,40.8,,
1.074836,2.892121,5.0,72.24266,40.8,,
1.077735,2.644888,5.0,72.24266,40.8,,
1.080388,2.524027,5.0,72.242851,40.8,,
1.083033,2.339645,5.0,72.242851,40.8,,
1.08538,2.378976,5.0,72.242851,40.8,,
1.087768,2.279834,5.0,72.242851,40.8,,
1.090056,2.439226,5.0,72.242851,40.8,,
1.092504,2.311475,5.0,72.242851,40.8,,
1.094823,2.406726,5.0,72.242851,40.8,,
1.097238,2.338594,5.0,72.242851,40.8,,
1.099592,2.438556,5.0,72.242851,40.8,,
1.102039,2.445906,5.0,72.242851,40.8,,
1.104493,2.622308,5.0,72.242851,40.8,,
1.107201,2.329164,5.0,72.242851,40.8,,
1.109538,2.353285,5.0,72.242851,40.8,,
1.111899,2.564437,5.0,72.242851,40.8,,
1.114472,2.320925,5.0,72.242851,40.8,,
1.116801,2.891281,5.0,72.242851,40.8,,
1.119701,2.428856,5.0,72.242851,40.8,,
1.122138,3.073273,5.0,72.242851,40.8,,
1.125222,2.84722,5.0,72.242851,40.8,,
1.128079,2.311825,5.0,72.242851,40.8,,
1.130402,2.688019,5.0,72.243033,40.8,,
2.157631,2.323195,5.0,72.243033,40.8,,
2.159977,2.112533,5.0,72.243033,40.8,,
2.162102,2.059632,5.0,72.243033,40.8,,
2.164173,2.021761,5.0,72.243033,40.8,,
2.166206,2.115642,5.0,72.243033,40.8,,
2.168333,2.047332,5.0,72.243033,40.8,,
2.17039,1.8743,5.0,72.243033,40.8,,
2.172273,1.85844,5.0,72.243033,40.8,,
2.17414,1.761009,5.0,72.243033,40.8,,
2.17591,1.729078,5.0,72.240633,40.8,,
2.177729,1.753079,5.0,72.240633,40.8,,
2.179491,1.774359,5.0,72.240633,40.8,,
2.181273,1.85699,5.0,72.240633,40.8,,
2.183139,1.777979,5.0,72.240633,40.8,,
2.184926,1.742449,5.0,72.240633,40.8,,
2.186676,1.742078,5.0,72.240633,40.8,,
2.188426,1.683818,5.0,72.240633,40.8,,
2.190118,1.751138,5.0,72.240633,40.8,,
2.191877,1.84204,5.0,72.240633,40.8,,
2.193727,1.709778,5.0,72.240633,40.8,,
2.195519,1.705058,5.0,72.240633,40.8,,
2.197232,1.715709,5.0,72.240633,40.8,,
