elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,cache_action_pre_query,cache_action_post_query
6e-06,8.62441,5.0,72.243443,40.7,,
1.00997,2.805289,5.0,72.243443,40.7,,
1.012799,2.101452,5.0,72.243443,40.7,,
1.014912,2.033702,5.0,72.243443,40.7,,
1.016955,1.92343,5.0,72.243443,40.7,,
1.018887,1.88835,5.0,72.243443,40.7,,
1.020784,2.084831,5.0,72.243443,40.7,,
1.022877,1.94778,5.0,72.243443,40.7,,
1.024832,2.204073,5.0,72.243443,40.7,,
1.027045,1.87163,5.0,72.243443,40.7,,
1.028925,1.973451,5.0,72.247494,40.7,,
1.030997,2.059321,5.0,72.247494,40.7,,
1.033065,2.056732,5.0,72.247494,40.7,,
1.03513,1.91467,5.0,72.247494,40.7,,
1.037052,1.93085,5.0,72.247494,40.7,,
1.038991,1.88312,5.0,72.247494,40.7,,
1.040883,2.065591,5.0,72.247494,40.7,,
1.042956,1.837439,5.0,72.247494,40.7,,
1.044801,1.998531,5.0,72.247494,40.7,,
1.046808,2.080762,5.0,72.247494,40.7,,
1.048897,2.049311,5.0,72.248068,40.7,,
1.051042,2.227074,5.0,72.248068,40.7,,
1.053277,2.528306,5.0,72.248068,40.7,,
1.055814,2.618268,5.0,72.248068,40.7,,
1.058443,2.84963,5.0,72.248068,40.7,,
1.061303,2.779019,5.0,72.248068,40.7,,
1.064092,2.566007,5.0,72.248068,40.7,,
1.066667,2.311424,5.0,72.248068,40.7,,
1.068987,2.446146,5.0,72.248068,40.7,,
1.071444,3.033641,5.0,72.248068,40.7,,
1.074489,2.613757,5.0,72.247989,40.7,,
1.077226,2.578397,5.0,72.247989,40.7,,
1.079815,2.686438,5.0,72.247989,40.7,,
1.082511,2.427336,5.0,72.247989,40.7,,
1.084947,2.545656,5.0,72.247989,40.7,,
1.087501,2.377224,5.0,72.247989,40.7,,
1.089886,2.630407,5.0,72.247989,40.7,,
1.092526,2.627448,5.0,72.247989,40.7,,
1.095163,2.645498,5.0,72.247989,40.7,,
