elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,cache_action_pre_query,cache_action_post_query
5e-06,24.783792,5.0,90.058233,13.7,,
1.002615,3.207038,5.0,90.058233,13.7,,
1.005843,2.753474,5.0,90.058233,13.7,,
1.00861,2.417081,5.0,90.058233,13.7,,
1.011037,2.550101,5.0,90.058233,13.7,,
1.013597,2.465652,5.0,90.058233,13.7,,
1.016072,2.655432,5.0,90.058233,13.7,,
1.018735,2.627622,5.0,90.058233,13.7,,
1.021372,2.763864,5.0,90.058233,13.7,,
1.024146,2.569462,5.0,90.058233,13.7,,
1.026726,2.770384,5.0,90.325305,13.7,,
1.029601,2.618152,5.0,90.325305,13.7,,
1.032228,2.33893,5.0,90.325305,13.7,,
1.034574,2.29492,5.0,90.325305,13.7,,
1.036877,2.449381,5.0,90.325305,13.7,,
1.039335,2.29255,5.0,90.325305,13.7,,
1.041635,2.32049,5.0,90.325305,13.7,,
1.043963,2.115328,5.0,90.325305,13.7,,
1.046087,2.162108,5.0,90.325305,13.7,,
1.048257,2.22749,5.0,90.325305,13.7,,
1.050492,2.071287,5.0,90.325906,13.7,,
1.052655,2.246609,5.0,90.325906,13.7,,
1.054916,2.051947,5.0,90.325906,13.7,,
1.056976,2.115138,5.0,90.325906,13.7,,
1.059099,2.180509,5.0,90.325906,13.7,,
1.061288,2.179619,5.0,90.325906,13.7,,
1.063475,2.032097,5.0,90.325906,13.7,,
1.065516,2.011208,5.0,90.325906,13.7,,
1.067535,2.191249,5.0,90.325906,13.7,,
1.069734,2.027807,5.0,90.325906,13.7,,
1.07177,2.094798,5.0,90.325906,13.7,,
1.073961,1.937716,5.0,90.325906,13.7,,
1.075907,1.961427,5.0,90.325906,13.7,,
1.077876,2.063528,5.0,90.325906,13.7,,
1.079948,2.125458,5.0,90.325906,13.7,,
1.082081,1.949257,5.0,90.325906,13.7,,
1.084038,2.108718,5.0,90.325906,13.7,,
1.086155,2.046098,5.0,90.325906,13.7,,
1.088209,2.027157,5.0,90.325906,13.7,,
1.090244,1.884046,5.0,90.325906,13.7,,
1.092136,2.382061,5.0,90.325906,13.7,,
1.094599,1.904106,5.0,90.325906,13.7,,
1.096511,1.998927,5.0,90.325906,13.7,,
1.098519,2.071518,5.0,90.325906,13.7,,
1.100598,1.988207,5.0,90.325906,13.7,,
1.102594,2.065848,5.0,90.325906,13.7,,
1.104668,2.172618,5.0,90.325906,13.7,,
1.106848,1.897386,5.0,90.325906,13.7,,
1.108753,1.918966,5.0,90.325906,13.7,,
1.11068,1.861696,5.0,90.325906,13.7,,
1.11255,2.026828,5.0,90.325906,13.7,,
2.120326,3.953884,5.0,90.325906,13.7,,
2.124294,2.936555,5.0,90.325906,13.7,,
2.127244,2.872885,5.0,90.325906,13.7,,
2.130126,2.436331,5.0,90.325906,13.7,,
2.13257,2.505851,5.0,90.325906,13.7,,
